(42920000, 5149000, 12460000)
(56500000, 6605000, 16060000)
(63290000, 7205000, 17610000)
(63290000, 7530000, 18250000)
(53760000, 6180000, 15080000)
(56180000, 5133000, 13020000)
(63290000, 7375000, 17940000)
(68970000, 8013000, 19510000)
(66230000, 7949000, 19230000)
(64520000, 7267000, 17790000)
