insert_frac,lookups/sec,inserts/sec,ops/sec
0.635,44972687.0,4583258.0,7367750.0
0.64,46767296.0,4753429.3,7608116.3
0.645,44824817.0,4610369.0,7337318.3
0.65,45945492.0,4735100.0,7496686.0
0.655,46081547.0,4754678.0,7490916.0
0.66,45905703.0,4734386.0,7424780.0
0.665,40055314.0,4175873.3,6498631.3
0.67,30020799.3,3230573.9,4987165.9
0.675,36173754.0,3785840.8,5841067.2
0.68,40768359.9,4266525.3,6547738.1
0.685,44262770.0,4608439.8,7044180.4
0.69,45799912.0,4740919.0,7209754.0
0.695,45456670.0,4746381.0,7178446.0
0.7,45422501.0,4755210.0,7154839.0
0.705,44670637.0,4717761.6,7043907.0
0.71,44473868.0,4678841.0,6961129.0
0.715,41397819.0,4365982.0,6456370.0
0.72,44670741.0,4740135.0,6970898.0
0.725,40038552.0,4277979.7,6255233.8
0.73,29152907.0,3246571.7,4698764.8
0.735,27205045.6,3044679.3,4382742.1
0.74,43596097.0,4695163.8,6752000.0
0.745,34566500.0,3782084.9,5399528.4
0.75,29597093.0,3273851.6,4642837.6
0.755,35306978.0,3906934.82,5511222.8
0.76,24754172.9,2822202.1,3946955.2
0.765,31561792.0,3501166.5,4883764.3
0.77,40742293.0,4493095.0,6237510.1
0.775,44872500.0,4920275.0,6790298.0
0.78,40128431.0,4414000.2,6058387.6
0.785,44269409.0,4881019.3,6658737.0
0.79,42884541.0,4776731.7,6472759.0
0.795,43846236.0,4883562.0,6580489.0
0.8,43683315.4,4888992.4,6544517.6
0.805,18022337.6,2115122.7,2807391.7
0.81,20672185.0,2409164.1,3180712.4
0.815,19870191.0,2321972.1,3043520.4
0.82,18540211.0,2200009.8,2866600.3
0.825,37784206.6,4477678.3,5794876.2
0.83,62896930.0,7147286.0,9217159.0
0.835,60709402.0,6934478.1,8880794.0
0.84,62327226.0,7151461.0,9094850.0
0.845,61251485.0,7091265.0,8962957.0
0.85,62392121.0,7202778.0,9041031.0
0.855,61697443.0,7161110.0,8932978.0
0.86,60571400.0,7121396.0,8820645.0
0.865,60434284.0,7150586.0,8792390.0
0.87,60012411.0,7156984.0,8741756.0
0.875,59565680.0,7119568.0,8637503.0
0.88,59338175.0,7174980.0,8643180.0
0.885,59089557.0,7175698.0,8582184.0
0.89,57708443.0,7123959.0,8454454.0
0.895,57775347.0,7163336.0,8440261.0
0.9,57252117.0,7136919.0,8351863.0
0.905,56069257.0,7129508.0,8277369.0
0.91,55575852.0,7150375.0,8244328.0
0.915,55211075.0,7170311.0,8205971.0
0.92,54827637.0,7159472.0,8132783.0
0.925,53400679.0,7124244.0,8027437.0
0.93,52903234.0,7176219.0,8023855.0
0.935,51501595.8,7111881.0,7888362.0
0.94,50889750.0,7196814.0,7922546.0
0.945,50367051.0,7163347.0,7826662.0
0.95,48119661.0,7100289.0,7694297.0
0.955,47115395.0,7096217.0,7629641.0
0.96,45506670.0,7142940.0,7616724.0
0.965,44272802.0,7129086.0,7540656.0
0.97,43054853.0,7124219.0,7475686.0
0.975,40345671.0,7161904.0,7452119.0
0.98,36829493.0,7152163.0,7379113.0
0.985,32422870.0,7116312.0,7280175.0
0.99,27152846.0,7121853.0,7224764.0
0.995,18060584.0,7128077.0,7168954.0
